Code,GeoFips,GeoName,year,CL_UNIT,UNIT_MULT,income_per_cap,city
CAINC1-3,06001,"Alameda, CA",1969,Dollars,0,"4,709",Alameda
CAINC1-3,06001,"Alameda, CA",1970,Dollars,0,"5,043",Alameda
CAINC1-3,06001,"Alameda, CA",1971,Dollars,0,"5,300",Alameda
CAINC1-3,06001,"Alameda, CA",1972,Dollars,0,"5,690",Alameda
CAINC1-3,06001,"Alameda, CA",1973,Dollars,0,"6,102",Alameda
CAINC1-3,06001,"Alameda, CA",1974,Dollars,0,"6,699",Alameda
CAINC1-3,06001,"Alameda, CA",1975,Dollars,0,"7,377",Alameda
CAINC1-3,06001,"Alameda, CA",1976,Dollars,0,"8,061",Alameda
CAINC1-3,06001,"Alameda, CA",1977,Dollars,0,"8,754",Alameda
CAINC1-3,06001,"Alameda, CA",1978,Dollars,0,"9,733",Alameda
CAINC1-3,06001,"Alameda, CA",1979,Dollars,0,"10,821",Alameda
CAINC1-3,06001,"Alameda, CA",1980,Dollars,0,"12,063",Alameda
CAINC1-3,06001,"Alameda, CA",1981,Dollars,0,"13,385",Alameda
CAINC1-3,06001,"Alameda, CA",1982,Dollars,0,"14,102",Alameda
CAINC1-3,06001,"Alameda, CA",1983,Dollars,0,"15,063",Alameda
CAINC1-3,06001,"Alameda, CA",1984,Dollars,0,"16,510",Alameda
CAINC1-3,06001,"Alameda, CA",1985,Dollars,0,"17,570",Alameda
CAINC1-3,06001,"Alameda, CA",1986,Dollars,0,"18,326",Alameda
CAINC1-3,06001,"Alameda, CA",1987,Dollars,0,"19,189",Alameda
CAINC1-3,06001,"Alameda, CA",1988,Dollars,0,"20,454",Alameda
CAINC1-3,06001,"Alameda, CA",1989,Dollars,0,"21,766",Alameda
CAINC1-3,06001,"Alameda, CA",1990,Dollars,0,"22,657",Alameda
CAINC1-3,06001,"Alameda, CA",1991,Dollars,0,"23,169",Alameda
CAINC1-3,06001,"Alameda, CA",1992,Dollars,0,"24,116",Alameda
CAINC1-3,06001,"Alameda, CA",1993,Dollars,0,"24,739",Alameda
CAINC1-3,06001,"Alameda, CA",1994,Dollars,0,"25,466",Alameda
CAINC1-3,06001,"Alameda, CA",1995,Dollars,0,"26,933",Alameda
CAINC1-3,06001,"Alameda, CA",1996,Dollars,0,"28,612",Alameda
CAINC1-3,06001,"Alameda, CA",1997,Dollars,0,"30,061",Alameda
CAINC1-3,06001,"Alameda, CA",1998,Dollars,0,"32,277",Alameda
CAINC1-3,06001,"Alameda, CA",1999,Dollars,0,"34,574",Alameda
CAINC1-3,06001,"Alameda, CA",2000,Dollars,0,"39,142",Alameda
CAINC1-3,06001,"Alameda, CA",2001,Dollars,0,"39,391",Alameda
CAINC1-3,06001,"Alameda, CA",2002,Dollars,0,"39,261",Alameda
CAINC1-3,06001,"Alameda, CA",2003,Dollars,0,"40,266",Alameda
CAINC1-3,06001,"Alameda, CA",2004,Dollars,0,"41,973",Alameda
CAINC1-3,06001,"Alameda, CA",2005,Dollars,0,"43,594",Alameda
CAINC1-3,06001,"Alameda, CA",2006,Dollars,0,"46,859",Alameda
CAINC1-3,06001,"Alameda, CA",2007,Dollars,0,"48,363",Alameda
CAINC1-3,06001,"Alameda, CA",2008,Dollars,0,"48,938",Alameda
CAINC1-3,06001,"Alameda, CA",2009,Dollars,0,"46,325",Alameda
CAINC1-3,06001,"Alameda, CA",2010,Dollars,0,"48,142",Alameda
CAINC1-3,06001,"Alameda, CA",2011,Dollars,0,"51,278",Alameda
CAINC1-3,06001,"Alameda, CA",2012,Dollars,0,"53,389",Alameda
CAINC1-3,06001,"Alameda, CA",2013,Dollars,0,"55,487",Alameda
CAINC1-3,06001,"Alameda, CA",2014,Dollars,0,"59,085",Alameda
CAINC1-3,06001,"Alameda, CA",2015,Dollars,0,"63,888",Alameda
CAINC1-3,06001,"Alameda, CA",2016,Dollars,0,"67,567",Alameda
CAINC1-3,06001,"Alameda, CA",2017,Dollars,0,"71,560",Alameda
CAINC1-3,06001,"Alameda, CA",2018,Dollars,0,"76,644",Alameda
CAINC1-3,06003,"Alpine, CA",1969,Dollars,0,"5,033",Alpine
CAINC1-3,06003,"Alpine, CA",1970,Dollars,0,"4,451",Alpine
CAINC1-3,06003,"Alpine, CA",1971,Dollars,0,"4,510",Alpine
CAINC1-3,06003,"Alpine, CA",1972,Dollars,0,"4,805",Alpine
CAINC1-3,06003,"Alpine, CA",1973,Dollars,0,"5,537",Alpine
CAINC1-3,06003,"Alpine, CA",1974,Dollars,0,"5,384",Alpine
CAINC1-3,06003,"Alpine, CA",1975,Dollars,0,"5,615",Alpine
CAINC1-3,06003,"Alpine, CA",1976,Dollars,0,"7,015",Alpine
CAINC1-3,06003,"Alpine, CA",1977,Dollars,0,"6,822",Alpine
CAINC1-3,06003,"Alpine, CA",1978,Dollars,0,"8,027",Alpine
CAINC1-3,06003,"Alpine, CA",1979,Dollars,0,"8,050",Alpine
CAINC1-3,06003,"Alpine, CA",1980,Dollars,0,"9,344",Alpine
CAINC1-3,06003,"Alpine, CA",1981,Dollars,0,"10,283",Alpine
CAINC1-3,06003,"Alpine, CA",1982,Dollars,0,"10,832",Alpine
CAINC1-3,06003,"Alpine, CA",1983,Dollars,0,"12,232",Alpine
CAINC1-3,06003,"Alpine, CA",1984,Dollars,0,"12,916",Alpine
CAINC1-3,06003,"Alpine, CA",1985,Dollars,0,"12,706",Alpine
CAINC1-3,06003,"Alpine, CA",1986,Dollars,0,"12,643",Alpine
CAINC1-3,06003,"Alpine, CA",1987,Dollars,0,"13,911",Alpine
CAINC1-3,06003,"Alpine, CA",1988,Dollars,0,"16,262",Alpine
CAINC1-3,06003,"Alpine, CA",1989,Dollars,0,"17,832",Alpine
CAINC1-3,06003,"Alpine, CA",1990,Dollars,0,"18,255",Alpine
CAINC1-3,06003,"Alpine, CA",1991,Dollars,0,"15,586",Alpine
CAINC1-3,06003,"Alpine, CA",1992,Dollars,0,"15,815",Alpine
CAINC1-3,06003,"Alpine, CA",1993,Dollars,0,"17,554",Alpine
CAINC1-3,06003,"Alpine, CA",1994,Dollars,0,"18,736",Alpine
CAINC1-3,06003,"Alpine, CA",1995,Dollars,0,"19,246",Alpine
CAINC1-3,06003,"Alpine, CA",1996,Dollars,0,"20,635",Alpine
CAINC1-3,06003,"Alpine, CA",1997,Dollars,0,"22,360",Alpine
CAINC1-3,06003,"Alpine, CA",1998,Dollars,0,"23,756",Alpine
CAINC1-3,06003,"Alpine, CA",1999,Dollars,0,"25,731",Alpine
CAINC1-3,06003,"Alpine, CA",2000,Dollars,0,"28,245",Alpine
CAINC1-3,06003,"Alpine, CA",2001,Dollars,0,"34,594",Alpine
CAINC1-3,06003,"Alpine, CA",2002,Dollars,0,"34,457",Alpine
CAINC1-3,06003,"Alpine, CA",2003,Dollars,0,"35,962",Alpine
CAINC1-3,06003,"Alpine, CA",2004,Dollars,0,"33,728",Alpine
CAINC1-3,06003,"Alpine, CA",2005,Dollars,0,"34,704",Alpine
CAINC1-3,06003,"Alpine, CA",2006,Dollars,0,"33,618",Alpine
CAINC1-3,06003,"Alpine, CA",2007,Dollars,0,"35,935",Alpine
CAINC1-3,06003,"Alpine, CA",2008,Dollars,0,"38,546",Alpine
CAINC1-3,06003,"Alpine, CA",2009,Dollars,0,"39,507",Alpine
CAINC1-3,06003,"Alpine, CA",2010,Dollars,0,"42,787",Alpine
CAINC1-3,06003,"Alpine, CA",2011,Dollars,0,"57,038",Alpine
CAINC1-3,06003,"Alpine, CA",2012,Dollars,0,"60,091",Alpine
CAINC1-3,06003,"Alpine, CA",2013,Dollars,0,"59,645",Alpine
CAINC1-3,06003,"Alpine, CA",2014,Dollars,0,"67,989",Alpine
CAINC1-3,06003,"Alpine, CA",2015,Dollars,0,"70,220",Alpine
CAINC1-3,06003,"Alpine, CA",2016,Dollars,0,"74,606",Alpine
CAINC1-3,06003,"Alpine, CA",2017,Dollars,0,"68,492",Alpine
CAINC1-3,06003,"Alpine, CA",2018,Dollars,0,"73,307",Alpine
CAINC1-3,06005,"Amador, CA",1969,Dollars,0,"4,216",Amador
CAINC1-3,06005,"Amador, CA",1970,Dollars,0,"4,349",Amador
CAINC1-3,06005,"Amador, CA",1971,Dollars,0,"4,562",Amador
CAINC1-3,06005,"Amador, CA",1972,Dollars,0,"5,001",Amador
CAINC1-3,06005,"Amador, CA",1973,Dollars,0,"5,432",Amador
CAINC1-3,06005,"Amador, CA",1974,Dollars,0,"5,762",Amador
CAINC1-3,06005,"Amador, CA",1975,Dollars,0,"6,297",Amador
CAINC1-3,06005,"Amador, CA",1976,Dollars,0,"7,135",Amador
CAINC1-3,06005,"Amador, CA",1977,Dollars,0,"7,718",Amador
CAINC1-3,06005,"Amador, CA",1978,Dollars,0,"8,471",Amador
CAINC1-3,06005,"Amador, CA",1979,Dollars,0,"9,173",Amador
CAINC1-3,06005,"Amador, CA",1980,Dollars,0,"9,776",Amador
CAINC1-3,06005,"Amador, CA",1981,Dollars,0,"10,296",Amador
CAINC1-3,06005,"Amador, CA",1982,Dollars,0,"10,810",Amador
CAINC1-3,06005,"Amador, CA",1983,Dollars,0,"11,712",Amador
CAINC1-3,06005,"Amador, CA",1984,Dollars,0,"12,906",Amador
CAINC1-3,06005,"Amador, CA",1985,Dollars,0,"13,605",Amador
CAINC1-3,06005,"Amador, CA",1986,Dollars,0,"14,369",Amador
