City,Population
Los Angeles,"3,979,576"
San Diego,"1,423,851"
San Jose,"1,021,795"
San Francisco,"881,549"
Fresno,"531,576"
Sacramento,"513,624"
Long Beach,"462,628"
Oakland,"433,031"
Bakersfield,"384,145"
Anaheim,"350,365"
Santa Ana,"332,318"
Riverside,"331,360"
Stockton,"312,697"
Irvine,"287,401"
Chula Vista,"274,492"
Fremont,"241,110"
San Bernardino,"215,784"
Modesto,"215,196"
Fontana,"214,547"
Moreno Valley,"213,055"
Santa Clarita,"212,979"
Oxnard,"208,881"
Glendale,"199,303"
Huntington Beach,"199,223"
Ontario,"185,010"
Rancho Cucamonga,"177,603"
Santa Rosa,"176,753"
Oceanside,"175,742"
Elk Grove,"174,775"
Garden Grove,"171,644"
Corona,"169,868"
Hayward,"159,203"
Lancaster,"157,601"
Salinas,"155,465"
Palmdale,"155,079"
Sunnyvale,"152,703"
Pomona,"151,691"
Escondido,"151,625"
Torrance,"143,592"
Roseville,"141,500"
Pasadena,"141,029"
Orange,"138,669"
Fullerton,"138,632"
Visalia,"134,605"
Santa Clara,"130,365"
Concord,"129,295"
Thousand Oaks,"126,813"
Simi Valley,"125,613"
Victorville,"122,385"
Vallejo,"121,692"
Berkeley,"121,363"
East Los Angeles,"119,827"
Fairfield,"117,133"
Murrieta,"116,223"
El Monte,"115,487"
Carlsbad,"115,382"
Temecula,"114,761"
Clovis,"114,584"
Costa Mesa,"113,003"
Antioch,"111,502"
Downey,"111,126"
Richmond,"110,567"
Jurupa Valley,"109,527"
San Buenaventura (Ventura),"109,106"
Inglewood,"108,151"
Santa Maria,"107,263"
Daly City,"106,280"
West Covina,"105,101"
San Mateo,"104,430"
Norwalk,"103,949"
Rialto,"103,526"
Chico,"103,301"
El Cajon,"102,708"
Burbank city,"102,511"
Vista,"101,638"
Vacaville,"100,670"
Arden-Arcade,"100,548"
San Marcos,"96,664"
Hesperia,"95,750"
Compton,"95,605"
Menifee,"94,756"
Tracy,"94,740"
Mission Viejo,"94,381"
Chino,"94,371"
South Gate,"93,444"
Redding,"92,590"
Indio,"91,765"
Carson,"91,394"
Santa Barbara,"91,364"
Westminster,"90,643"
Santa Monica,"90,401"
Livermore,"90,189"
San Leandro,"88,815"
Citrus Heights,"87,796"
Hawthorne,"86,068"
Redwood City,"85,925"
Lake Forest,"85,531"
Hemet,"85,334"
Whittier,"85,098"
Newport Beach,"84,534"
Milpitas,"84,196"
Chino Hills,"83,853"
Alhambra,"83,750"
Merced,"83,676"
Manteca,"83,028"
Mountain View city,"82,739"
Buena Park,"81,788"
Pleasanton,"81,777"
Folsom,"81,328"
Tustin,"79,348"
Lakewood,"79,307"
