year,county,city,population,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,burglary,larceny_theft,vehicle_theft,arson,sum_violent_crime,sum_property_crime,sum_index_crimes,crime_index
1999,placer,auburn,40591,3,12,26,83,301,1566,40,0,124,1907,2031,0.050035722204429554
1999,los angeles,glendale,198028,16,87,371,752,2234,7563,2286,66,1226,12149,13309,0.06720766760256125
1999,san bernardino,adelanto,15515,2,2,5,117,120,68,47,2,126,237,361,0.023267805349661618
1999,los angeles,agoura hills,21127,0,3,5,48,64,155,15,0,56,234,290,0.013726511099540872
1999,alameda,alameda,79848,0,12,91,146,323,2022,339,17,249,2701,2933,0.03673229135357178
1999,alameda,albany,17457,0,1,37,12,169,462,55,6,50,692,736,0.04216073781291173
1999,los angeles,alhambra,85356,4,3,165,97,372,1114,287,15,269,1788,2042,0.02392333286470781
1999,orange,anaheim,299477,16,85,468,1070,1640,5452,1373,53,1639,8518,10104,0.03373881800605723
1999,contra costa,antioch,82621,3,14,120,382,510,1085,386,35,519,2016,2500,0.03025865094830612
1999,san bernardino,apple valley,57267,2,8,60,146,531,1072,187,14,216,1804,2006,0.035028899715368364
1999,los angeles,arcadia,50892,0,8,63,67,234,944,90,10,138,1278,1406,0.027627131965731352
1999,humboldt,arcata,16401,0,4,14,21,131,629,36,12,39,808,835,0.05091152978476922
1999,san luis obispo,arroyo grande,15482,0,5,5,14,72,323,18,6,24,419,437,0.02822632734788787
1999,los angeles,artesia,16160,2,6,48,62,76,214,110,2,118,402,518,0.032054455445544555
1999,kern,arvin,11331,0,0,13,24,80,296,39,18,37,433,452,0.03989056570470391
1999,san luis obispo,atascadero,24997,0,8,5,66,135,358,33,21,79,547,605,0.024202904348521823
1999,merced,atwater,24657,3,7,24,161,444,473,101,4,195,1022,1213,0.04919495477957578
1999,placer,auburn,12567,0,3,6,39,81,273,26,4,48,384,428,0.034057452056974614
1999,kings,avenal,11875,0,1,3,52,84,66,5,0,56,155,211,0.01776842105263158
1999,los angeles,azusa,43248,1,9,69,80,228,634,201,13,159,1076,1222,0.028255641879393268
1999,kern,bakersfield,213365,24,27,357,451,2316,6870,1162,113,859,10461,11207,0.052525015817964524
1999,los angeles,baldwin park,73007,7,20,90,121,278,528,377,12,238,1195,1421,0.019463887024531893
1999,riverside,banning,27135,1,12,33,259,273,217,124,0,305,614,919,0.03386769854431546
1999,san bernardino,barstow,23503,0,11,53,110,337,618,109,5,174,1069,1238,0.05267412670722887
1999,riverside,beaumont,11073,1,6,18,132,188,198,59,0,157,445,602,0.05436647701616545
1999,los angeles,bell,35720,1,10,111,205,212,216,183,1,327,612,938,0.02625979843225084
1999,los angeles,bellflower,64541,8,24,230,239,442,1010,573,18,501,2043,2526,0.03913791233479494
1999,los angeles,bell gardens,45033,5,11,144,203,286,457,285,8,363,1036,1391,0.030888459574090112
1999,san mateo,belmont,26605,0,2,6,17,57,232,33,0,25,322,347,0.013042661153918436
1999,solano,benicia,27244,0,6,17,22,149,221,44,8,45,422,459,0.016847746292761707
1999,alameda,berkeley,109685,3,32,391,416,1197,5459,845,58,842,7559,8343,0.07606327209736974
1999,los angeles,beverly hills,32875,1,7,84,65,231,943,77,3,157,1254,1408,0.04282889733840304
1999,riverside,blythe,13765,0,1,12,105,146,372,17,16,118,551,653,0.04743915728296404
1999,imperial,brawley,23289,1,5,30,62,262,539,76,6,98,883,975,0.04186525827643952
1999,orange,brea,36087,0,7,28,63,294,943,125,3,98,1365,1460,0.04045778258098484
1999,contra costa,brentwood,17875,0,2,8,27,105,350,44,3,37,502,536,0.029986013986013985
1999,orange,buena park,74448,2,12,99,146,321,987,335,39,259,1682,1902,0.02554803352675693
1999,los angeles,burbank,98857,2,8,95,206,362,1592,548,8,311,2510,2813,0.028455243432432706
1999,san mateo,burlingame,28509,1,2,14,43,105,653,89,0,60,847,907,0.031814514714651514
1999,los angeles,calabasas,17985,0,2,7,43,65,112,19,2,52,198,248,0.013789268835140395
1999,imperial,calexico,26951,0,2,51,69,288,386,304,0,122,978,1100,0.040814812066342625
1999,ventura,camarillo,60217,3,8,18,72,230,738,59,19,101,1046,1128,0.01873225168972217
1999,santa clara,campbell,39185,3,16,20,161,108,819,87,8,200,1022,1214,0.030981242822508612
1999,riverside,canyon lake,12632,0,3,3,47,54,88,15,1,53,158,210,0.01662444585180494
1999,santa cruz,capitola,10736,0,2,11,51,46,649,8,3,64,706,767,0.0714418777943368
1999,san diego,carlsbad,75827,0,17,40,144,434,1324,228,7,201,1993,2187,0.028841969219407335
1999,santa barbara,carpinteria,14346,0,5,4,29,42,112,7,1,38,162,199,0.013871462428551513
1999,los angeles,carson,88931,9,15,174,535,598,1435,625,36,733,2694,3391,0.03813068558770283
1999,riverside,cathedral city,38189,3,22,34,91,466,589,298,1,150,1354,1503,0.039356882872031214
