month,year,quakes_minor,quakes_moderate,quakes_severe,county
1,2010,1,0,0,alameda
1,2014,1,0,0,alameda
1,2018,0,0,1,alameda
1,2019,0,2,0,alameda
1,2020,1,0,0,alameda
2,2011,1,0,0,alameda
2,2013,2,0,0,alameda
2,2015,1,0,0,alameda
3,2014,1,0,0,alameda
3,2015,0,0,0,alameda
3,2016,1,0,0,alameda
3,2017,1,0,0,alameda
3,2018,1,0,0,alameda
3,2019,1,0,0,alameda
4,2012,1,0,0,alameda
4,2016,1,0,0,alameda
4,2019,2,0,0,alameda
5,2010,1,2,0,alameda
5,2014,1,0,0,alameda
5,2016,1,0,0,alameda
5,2017,2,0,0,alameda
5,2018,0,1,0,alameda
6,2013,1,0,0,alameda
6,2014,2,0,0,alameda
6,2019,1,0,0,alameda
6,2020,1,0,0,alameda
7,2010,1,0,0,alameda
7,2011,0,1,0,alameda
7,2012,1,0,0,alameda
7,2015,2,1,0,alameda
7,2018,1,0,0,alameda
8,2011,1,2,0,alameda
8,2014,1,0,0,alameda
8,2015,2,0,0,alameda
8,2017,1,0,0,alameda
8,2020,1,1,0,alameda
9,2011,0,1,0,alameda
9,2012,1,0,0,alameda
9,2013,2,0,0,alameda
9,2014,1,0,0,alameda
9,2016,0,1,0,alameda
9,2018,1,0,0,alameda
10,2011,1,3,0,alameda
10,2014,1,0,0,alameda
10,2017,1,0,0,alameda
11,2011,1,1,0,alameda
11,2012,1,0,0,alameda
11,2017,2,0,0,alameda
11,2018,3,0,0,alameda
12,2010,1,0,0,alameda
12,2011,2,0,0,alameda
12,2012,1,0,0,alameda
12,2013,1,0,0,alameda
12,2017,1,0,0,alameda
12,2018,1,0,0,alameda
12,2019,1,0,0,alameda
1,2011,0,1,0,amador
1,2013,2,2,0,amador
2,2013,1,0,0,amador
2,2018,1,0,0,amador
2,2019,2,0,0,amador
3,2013,1,0,0,amador
4,2013,0,1,0,amador
4,2018,1,0,0,amador
5,2013,2,1,0,amador
6,2018,1,0,0,amador
7,2016,1,0,0,amador
8,2011,1,0,0,amador
11,2010,5,3,0,amador
4,2010,2,0,0,butte
8,2014,1,0,0,butte
11,2010,0,1,0,butte
2,2010,1,0,0,calaveras
3,2010,1,0,0,calaveras
3,2016,1,0,0,calaveras
3,2019,1,0,0,calaveras
4,2013,1,0,0,calaveras
4,2016,1,0,0,calaveras
4,2020,1,0,0,calaveras
5,2011,1,0,0,calaveras
5,2013,1,0,0,calaveras
5,2020,1,0,0,calaveras
6,2013,2,0,0,calaveras
6,2018,1,0,0,calaveras
7,2020,3,0,0,calaveras
9,2013,1,0,0,calaveras
10,2012,1,0,0,calaveras
10,2015,0,1,0,calaveras
11,2010,1,0,0,calaveras
11,2012,1,0,0,calaveras
11,2019,2,0,0,calaveras
12,2015,1,0,0,calaveras
12,2019,1,0,0,calaveras
1,2015,1,0,0,colusa
5,2018,1,0,0,colusa
8,2012,2,0,0,colusa
1,2011,4,0,0,contra costa
1,2016,1,0,0,contra costa
1,2017,1,0,0,contra costa
1,2020,1,0,0,contra costa
2,2011,1,0,0,contra costa
2,2012,1,0,0,contra costa
2,2013,1,0,0,contra costa
2,2016,1,0,0,contra costa
2,2018,10,3,0,contra costa
3,2012,0,2,0,contra costa
3,2016,1,0,0,contra costa
3,2018,3,0,0,contra costa
3,2019,1,0,0,contra costa
4,2010,1,0,0,contra costa
4,2013,1,0,0,contra costa
4,2015,3,1,0,contra costa
4,2016,1,0,0,contra costa
4,2017,0,1,0,contra costa
4,2018,4,1,0,contra costa
4,2019,0,1,0,contra costa
4,2020,1,0,0,contra costa
5,2011,0,1,0,contra costa
5,2015,3,2,0,contra costa
5,2017,2,0,0,contra costa
5,2018,3,0,0,contra costa
6,2011,1,0,0,contra costa
6,2017,0,0,0,contra costa
6,2018,2,1,0,contra costa
7,2014,1,0,0,contra costa
7,2019,0,1,1,contra costa
7,2020,1,0,0,contra costa
8,2010,2,0,0,contra costa
8,2013,1,0,0,contra costa
8,2014,1,0,0,contra costa
8,2016,1,0,0,contra costa
8,2018,1,0,0,contra costa
8,2020,1,0,0,contra costa
9,2010,1,1,0,contra costa
9,2013,1,0,0,contra costa
9,2015,1,0,0,contra costa
9,2017,2,0,0,contra costa
9,2019,1,0,0,contra costa
10,2011,1,0,0,contra costa
10,2013,4,1,0,contra costa
10,2015,21,6,0,contra costa
10,2019,3,1,1,contra costa
11,2010,2,0,0,contra costa
11,2013,3,1,0,contra costa
11,2014,2,0,0,contra costa
11,2015,4,1,0,contra costa
11,2018,0,1,0,contra costa
12,2010,2,0,0,contra costa
12,2013,1,0,0,contra costa
