name,class,fault_id,county,length_km,time,slip_rate
airport lake fault zone,A,73,inyo,40,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
alexander-redwood hill fault zone,A,220,sonoma,NA,latest Quaternary (<15 ka),Unspecified
almanor fault zone,A,21,lassen,40,late Quaternary (<130 ka),Between 1.0 and 5.0 mm/yr
americano creek fault,A,225,sonoma,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
antelope valley fault zone,A,1287,mono,51,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
arrowhead fault zone,A,335,san bernardino,19,undifferentiated Quaternary (<1.6 Ma),Unspecified
ash creek fault zone,A,196,siskiyou,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
ash meadows fault zone,A,1077,inyo,42,late Quaternary (<130 ka),Less than 0.2 mm/yr
bald mountain-big lagoon fault zone,A,787,del norte,95,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
bald mountain-big lagoon fault zone,A,12,humboldt,124,middle and late Quaternary (<750 ka),Between 1.0 and 5.0 mm/yr
bald mountain graben,A,413,mono,17,undifferentiated Quaternary (<1.6 Ma),Unspecified
"bartlett springs fault system, bartlett springs section",A,29d,lake,80,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"bartlett springs fault system, elk creek section",A,29c,mendocino,80,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"bartlett springs fault system, lake mountain section",A,29a,mendocino,51,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"bartlett springs fault system, round valley section",A,29b,mendocino,75,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
battle creek fault zone,A,20,shasta,NA,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
bear river fault zone,A,153,humboldt,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
beaver creek fault,A,202,tehama,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
ben lomond fault,A,498,santa cruz,5,late Quaternary (<130 ka),Unspecified
bennett valley fault zone,A,229,sonoma,NA,latest Quaternary (<15 ka),Unspecified
benton range fault zone,A,436,mono,61,undifferentiated Quaternary (<1.6 Ma),Unspecified
berrocal fault zone,A,57,san mateo,57,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
bidwell creek fault zone,A,500,sonoma,9,undifferentiated Quaternary (<1.6 Ma),Unspecified
"big pine fault zone, eastern big pine section",A,86b,ventura,NA,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"big pine fault zone, lockwood valley section",A,86c,kern,NA,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"big pine fault zone, western big pine section",A,86a,santa barbara,NA,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
big valley fault,A,165,lake,NA,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
black fox mountain fault zone,A,195,siskiyou,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
"black mountains fault zone, artists drive section",A,142b,inyo,22,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"black mountains fault zone, copper canyon section",A,142c,inyo,27,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"black mountains fault zone, mustard hills transition zone",A,142a,inyo,8,latest Quaternary (<15 ka),Less than 0.2 mm/yr
"black mountains fault zone, smith mountain section",A,142d,inyo,16,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
blackwater fault zone,A,113,san bernardino,78,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
blythe graben,A,505,riverside,4,late Quaternary (<130 ka),Unspecified
bottle springs fault,A,209,plumas,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
brawley seismic zone,A,124,imperial,68,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
brush mountain shear zone,A,154,mendocino,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
