year,county,homeless_count
2007,tuolumne,100
2007,calaveras,100
2007,amador,100
2007,mariposa,100
2011,tuolumne,102
2011,calaveras,102
2011,amador,102
2011,mariposa,102
2008,tuolumne,100
2008,calaveras,100
2008,amador,100
2008,mariposa,100
2013,tuolumne,94
2013,calaveras,94
2013,amador,94
2013,mariposa,94
2012,tuolumne,95
2012,calaveras,95
2012,amador,95
2012,mariposa,95
2009,tuolumne,93
2009,calaveras,93
2009,amador,93
2009,mariposa,93
2014,tuolumne,96
2014,calaveras,96
2014,amador,96
2014,mariposa,96
2017,tuolumne,92
2017,calaveras,92
2017,amador,92
2017,mariposa,92
2010,tuolumne,72
2010,calaveras,72
2010,amador,72
2010,mariposa,72
2015,tuolumne,108
2015,calaveras,108
2015,amador,108
2015,mariposa,108
2016,tuolumne,158
2016,calaveras,158
2016,amador,158
2016,mariposa,158
2013,kern,1152
2016,kern,1067
2017,kern,810
2011,kern,1439
2009,kern,1499
2014,kern,992
2015,kern,954
2008,kern,1537
2007,kern,1537
2010,kern,1499
2012,kern,1352
2010,butte,742
2008,butte,592
2009,butte,689
2011,butte,897
2015,butte,571
2007,butte,1478
2012,butte,897
2017,butte,1195
2014,butte,696
2016,butte,574
2013,butte,712
2010,glenn,66
2010,colusa,66
2010,trinity,66
2011,glenn,107
2011,colusa,107
2011,trinity,107
2007,glenn,52
2007,colusa,52
2007,trinity,52
2017,glenn,59
2017,colusa,59
2017,trinity,59
2012,glenn,101
2012,colusa,101
2012,trinity,101
2008,glenn,64
2008,colusa,64
2008,trinity,64
2014,glenn,189
2014,colusa,189
2014,trinity,189
2016,glenn,38
2016,colusa,38
2016,trinity,38
2013,glenn,232
2013,colusa,232
2013,trinity,232
2009,glenn,66
2009,colusa,66
2009,trinity,66
2015,glenn,45
2015,colusa,45
2015,trinity,45
2013,san mateo,1995
2007,san mateo,1798
2008,san mateo,1798
2014,san mateo,2024
2012,san mateo,1845
2017,san mateo,1253
2016,san mateo,1361
2015,san mateo,1483
2011,san mateo,1926
2009,san mateo,1567
2010,san mateo,1424
2010,yolo,491
2009,yolo,491
2013,yolo,474
2011,yolo,468
2007,yolo,414
2008,yolo,414
2014,yolo,442
2012,yolo,513
2015,yolo,498
2016,yolo,532
2017,yolo,459
2010,del norte,18
2011,del norte,448
2012,del norte,437
2013,el dorado,180
2007,el dorado,107
2012,el dorado,217
2016,el dorado,269
2008,el dorado,150
2017,el dorado,602
2010,el dorado,146
2009,el dorado,146
2014,el dorado,195
2011,el dorado,170
2015,el dorado,269
2014,madera,2592
2007,madera,4247
2010,madera,4288
2008,madera,3507
2016,madera,1883
2017,madera,2016
2009,madera,4345
2015,madera,1722
2011,madera,5135
2013,madera,3131
2012,madera,4492
NA,a city,NA
2008,humboldt,907
2011,humboldt,861
2010,humboldt,1355
2015,humboldt,1180
2009,humboldt,1355
2013,humboldt,864
2007,humboldt,907
2014,humboldt,932
2017,humboldt,759
2012,humboldt,846
2016,humboldt,1134
2009,imperial,505
2015,imperial,554
2008,imperial,393
2011,imperial,508
2016,imperial,380
2007,imperial,342
2010,imperial,505
2013,imperial,252
2012,imperial,239
2017,imperial,1154
2014,imperial,298
2017,inyo,40
2017,mono,40
2017,alpine,40
2015,inyo,18
2015,mono,18
2015,alpine,18
2016,inyo,43
2016,mono,43
2016,alpine,43
2015,lake,315
2016,lake,332
2017,lake,401
NA,a city,NA
2007,los angeles,47862
2017,los angeles,55188
2013,los angeles,35524
2012,los angeles,31553
2011,los angeles,34622
2015,los angeles,41174
2016,los angeles,43854
2008,los angeles,47862
2014,los angeles,34393
2009,los angeles,33243
2010,los angeles,33243
2016,marin,1258
2012,marin,725
2010,marin,1026
2009,marin,1026
2014,marin,679
2008,marin,1002
2017,marin,1117
2007,marin,1002
2013,marin,676
2011,marin,862
2015,marin,1318
2009,mendocino,1202
2007,mendocino,1422
2016,mendocino,1242
2008,mendocino,1423
2015,mendocino,947
2012,mendocino,1441
