year,state,county_raw,total_homeless_count,shared_obs
2007,CA,San Jose/Santa Clara ,7202,1
2007,CA,San Francisco CoC,5703,1
2007,CA,Oakland/Alameda County CoC,4838,1
2007,CA,Sacramento ,2452,1
2007,CA,Santa Rosa/Petaluma/Sonoma County CoC,1314,1
2007,CA,Richmond/Contra Costa County CoC,4062,1
2007,CA,"Salinas/Monterey, San Benito Counties CoC",1402,2
2007,CA,Marin County CoC,1002,1
2007,CA,Watsonville/Santa Cruz ,2789,1
2007,CA,Mendocino County CoC,1422,1
2007,CA,Turlock/Modesto/Stanislaus County CoC,1593,1
2007,CA,Stockton/San Joaquin County CoC,2479,1
2007,CA,Daly/San Mateo County CoC,1798,1
2007,CA,"Visalia, Kings, Tulare Counties CoC",1106,2
2007,CA,Fresno/Madera County CoC,4247,1
2007,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",587,2
2007,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",296,7
2007,CA,Napa ,365,1
2007,CA,Vallejo/Solano County CoC,1956,1
2007,CA,Chico/Paradise/Butte County CoC,1478,1
2007,CA,Merced ,2641,1
2007,CA,Davis/Woodland/Yolo County CoC,414,1
2007,CA,Humboldt County CoC,907,1
2007,CA,"Colusa, Glenn, Trinity Counties CoC",155,3
2007,CA,Yuba ,362,1
2007,CA,El Dorado County CoC,107,1
2007,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",400,4
2007,CA,Los Angeles ,47862,1
2007,CA,San Diego ,7326,1
2007,CA,Santa Ana/Anaheim/Orange County CoC,3649,1
2007,CA,Santa Maria/Santa Barbara County CoC,4253,1
2007,CA,Bakersfield/Kern County CoC,1537,1
2007,CA,Long Beach CoC,3829,0
2007,CA,Pasadena CoC,969,0
2007,CA,Riverside ,4508,1
2007,CA,San Bernardino ,6969,1
2007,CA,Oxnard/San Buenaventura/Ventura County CoC,1961,1
2007,CA,Glendale CoC,296,0
2007,CA,Imperial County CoC,342,1
2007,CA,San Luis Obispo County CoC,2408,1
2008,CA,San Jose/Santa Clara ,7202,1
2008,CA,San Francisco CoC,5171,1
2008,CA,Oakland/Alameda County CoC,4838,1
2008,CA,Sacramento ,2615,1
2008,CA,Santa Rosa/Petaluma/Sonoma County CoC,1314,1
2008,CA,Richmond/Contra Costa County CoC,4062,1
2008,CA,"Salinas/Monterey, San Benito Counties CoC",1402,2
2008,CA,Marin County CoC,1002,1
2008,CA,Watsonville/Santa Cruz ,2789,1
2008,CA,Mendocino County CoC,1423,1
2008,CA,Turlock/Modesto/Stanislaus County CoC,1593,1
2008,CA,Stockton/San Joaquin County CoC,2354,1
2008,CA,Daly/San Mateo County CoC,1798,1
2008,CA,"Visalia, Kings, Tulare Counties CoC",1040,2
2008,CA,Fresno/Madera County CoC,3507,1
2008,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",587,2
2008,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",263,7
2008,CA,Napa ,365,1
2008,CA,Vallejo/Solano County CoC,1956,1
2008,CA,Chico/Paradise/Butte County CoC,592,1
2008,CA,Merced ,2455,1
2008,CA,Davis/Woodland/Yolo County CoC,414,1
2008,CA,Humboldt County CoC,907,1
2008,CA,"Colusa, Glenn, Trinity Counties CoC",193,3
2008,CA,Yuba ,594,1
2008,CA,El Dorado County CoC,150,1
2008,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",400,4
2008,CA,Los Angeles ,47862,1
2008,CA,San Diego ,8455,1
2008,CA,Santa Ana/Anaheim/Orange County CoC,3649,1
2008,CA,Santa Maria/Santa Barbara County CoC,4253,1
2008,CA,Bakersfield/Kern County CoC,1537,1
2008,CA,Long Beach CoC,3829,0
2008,CA,Pasadena CoC,983,0
2008,CA,Riverside ,4508,1
2008,CA,San Bernardino ,6969,1
2008,CA,Oxnard/San Buenaventura/Ventura County CoC,1961,1
2008,CA,Glendale CoC,296,0
2008,CA,Imperial County CoC,393,1
2008,CA,San Luis Obispo County CoC,850,1
2009,CA,San Jose/Santa Clara ,7086,1
2009,CA,San Francisco CoC,5823,1
2009,CA,Oakland/Alameda County CoC,4341,1
2009,CA,Sacramento ,2800,1
2009,CA,Santa Rosa/Petaluma/Sonoma County CoC,3247,1
2009,CA,Richmond/Contra Costa County CoC,2759,1
2009,CA,"Salinas/Monterey, San Benito Counties CoC",2407,2
2009,CA,Marin County CoC,1026,1
2009,CA,Watsonville/Santa Cruz ,2265,1
2009,CA,Mendocino County CoC,1202,1
2009,CA,Turlock/Modesto/Stanislaus County CoC,1800,1
2009,CA,Stockton/San Joaquin County CoC,3005,1
2009,CA,Daly/San Mateo County CoC,1567,1
2009,CA,"Visalia, Kings, Tulare Counties CoC",966,2
2009,CA,Fresno/Madera County CoC,4345,1
2009,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",1054,2
2009,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",340,7
2009,CA,Napa ,314,1
2009,CA,Vallejo/Solano County CoC,829,1
2009,CA,Chico/Paradise/Butte County CoC,689,1
2009,CA,Merced ,372,1
2009,CA,Davis/Woodland/Yolo County CoC,491,1
2009,CA,Humboldt County CoC,1355,1
2009,CA,"Colusa, Glenn, Trinity Counties CoC",197,3
2009,CA,Yuba ,411,1
2009,CA,El Dorado County CoC,146,1
2009,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",372,4
2009,CA,Los Angeles ,33243,1
2009,CA,San Diego ,7995,1
2009,CA,Santa Ana/Anaheim/Orange County CoC,8333,1
2009,CA,Santa Maria/Santa Barbara County CoC,4121,1
2009,CA,Bakersfield/Kern County CoC,1499,1
2009,CA,Long Beach CoC,3909,0
2009,CA,Pasadena CoC,1144,0
2009,CA,Riverside ,3366,1
2009,CA,San Bernardino ,2026,1
2009,CA,Oxnard/San Buenaventura/Ventura County CoC,2193,1
2009,CA,Glendale CoC,306,0
2009,CA,Imperial County CoC,505,1
2009,CA,San Luis Obispo County CoC,3829,1
2010,CA,San Jose/Santa Clara ,7086,1
2010,CA,San Francisco CoC,5823,1
2010,CA,Oakland/Alameda County CoC,4341,1
2010,CA,Sacramento ,2734,1
2010,CA,Santa Rosa/Petaluma/Sonoma County CoC,3345,1
