county_raw,county
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",mariposa
Bakersfield/Kern County CoC,kern
Chico/Paradise/Butte County CoC,butte
"Colusa, Glenn, Trinity Counties CoC",colusa
"Colusa, Glenn, Trinity Counties CoC",glenn
"Colusa, Glenn, Trinity Counties CoC",trinity
Daly/San Mateo County CoC,san mateo
Davis/Woodland/Yolo County CoC,yolo
Del Norte County CoC,del norte
El Dorado County CoC,el dorado
Fresno/Madera County CoC,madera
Glendale CoC,a city
Humboldt County CoC,humboldt
Imperial County CoC,imperial
"Inyo, Mono, Alpine Counties CoC",inyo
"Inyo, Mono, Alpine Counties CoC",mono
"Inyo, Mono, Alpine Counties CoC",alpine
Lake County CoC,lake
Long Beach CoC,a city
Los Angeles ,los angeles
Marin County CoC,marin
Mendocino County CoC,mendocino
Merced ,merced
Napa ,napa
Oakland/Alameda County CoC,alameda
Oxnard/San Buenaventura/Ventura County CoC,ventura
Pasadena CoC,a city
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",shasta
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",siskiyou
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",lassen
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",plumas
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",del norte
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",modoc
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",sierra
Richmond/Contra Costa County CoC,contra costa
Riverside ,riverside
"Roseville/Rocklin/Placer, Nevada Counties CoC",placer
"Roseville/Rocklin/Placer, Nevada Counties CoC",nevada
Sacramento ,sacramento
"Salinas/Monterey, San Benito Counties CoC",monterey
"Salinas/Monterey, San Benito Counties CoC",san benito
San Bernardino ,san bernardino
San Diego ,san diego
San Francisco CoC,san francisco
San Jose/Santa Clara ,santa clara
San Luis Obispo County CoC,san luis obispo
Santa Ana/Anaheim/Orange County CoC,orange
Santa Maria/Santa Barbara County CoC,santa barbara
Santa Rosa/Petaluma/Sonoma County CoC,sonoma
Stockton/San Joaquin County CoC,san joaquin
Tehama County CoC,tehama
Turlock/Modesto/Stanislaus County CoC,stanislaus
Vallejo/Solano County CoC,solano
"Visalia, Kings, Tulare Counties CoC",kings
"Visalia, Kings, Tulare Counties CoC",tulare
Watsonville/Santa Cruz ,santa cruz
Yuba ,yuba
