county_raw,year,state,total_homeless_count,shared_obs,homeless_count_calc,county
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2007,CA,400,4,100,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2007,CA,400,4,100,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2007,CA,400,4,100,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2007,CA,400,4,100,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2011,CA,406,4,102,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2011,CA,406,4,102,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2011,CA,406,4,102,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2011,CA,406,4,102,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2008,CA,400,4,100,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2008,CA,400,4,100,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2008,CA,400,4,100,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2008,CA,400,4,100,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2013,CA,376,4,94,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2013,CA,376,4,94,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2013,CA,376,4,94,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2013,CA,376,4,94,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2012,CA,379,4,95,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2012,CA,379,4,95,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2012,CA,379,4,95,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2012,CA,379,4,95,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2009,CA,372,4,93,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2009,CA,372,4,93,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2009,CA,372,4,93,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2009,CA,372,4,93,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2014,CA,382,4,96,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2014,CA,382,4,96,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2014,CA,382,4,96,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2014,CA,382,4,96,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2017,CA,367,4,92,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2017,CA,367,4,92,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2017,CA,367,4,92,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2017,CA,367,4,92,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2010,CA,289,4,72,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2010,CA,289,4,72,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2010,CA,289,4,72,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2010,CA,289,4,72,mariposa
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2015,CA,430,4,108,tuolumne
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2015,CA,430,4,108,calaveras
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2015,CA,430,4,108,amador
"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",2015,CA,430,4,108,mariposa
