"","RegionID","SizeRank","RegionName","RegionType","StateName","State","City","Metro","CountyName","X2000.01.31","X2000.02.29","X2000.03.31","X2000.04.30","X2000.05.31","X2000.06.30","X2000.07.31","X2000.08.31","X2000.09.30","X2000.10.31","X2000.11.30","X2000.12.31","X2001.01.31","X2001.02.28","X2001.03.31","X2001.04.30","X2001.05.31","X2001.06.30","X2001.07.31","X2001.08.31","X2001.09.30","X2001.10.31","X2001.11.30","X2001.12.31","X2002.01.31","X2002.02.28","X2002.03.31","X2002.04.30","X2002.05.31","X2002.06.30","X2002.07.31","X2002.08.31","X2002.09.30","X2002.10.31","X2002.11.30","X2002.12.31","X2003.01.31","X2003.02.28","X2003.03.31","X2003.04.30","X2003.05.31","X2003.06.30","X2003.07.31","X2003.08.31","X2003.09.30","X2003.10.31","X2003.11.30","X2003.12.31","X2004.01.31","X2004.02.29","X2004.03.31","X2004.04.30","X2004.05.31","X2004.06.30","X2004.07.31","X2004.08.31","X2004.09.30","X2004.10.31","X2004.11.30","X2004.12.31","X2005.01.31","X2005.02.28","X2005.03.31","X2005.04.30","X2005.05.31","X2005.06.30","X2005.07.31","X2005.08.31","X2005.09.30","X2005.10.31","X2005.11.30","X2005.12.31","X2006.01.31","X2006.02.28","X2006.03.31","X2006.04.30","X2006.05.31","X2006.06.30","X2006.07.31","X2006.08.31","X2006.09.30","X2006.10.31","X2006.11.30","X2006.12.31","X2007.01.31","X2007.02.28","X2007.03.31","X2007.04.30","X2007.05.31","X2007.06.30","X2007.07.31","X2007.08.31","X2007.09.30","X2007.10.31","X2007.11.30","X2007.12.31","X2008.01.31","X2008.02.29","X2008.03.31","X2008.04.30","X2008.05.31","X2008.06.30","X2008.07.31","X2008.08.31","X2008.09.30","X2008.10.31","X2008.11.30","X2008.12.31","X2009.01.31","X2009.02.28","X2009.03.31","X2009.04.30","X2009.05.31","X2009.06.30","X2009.07.31","X2009.08.31","X2009.09.30","X2009.10.31","X2009.11.30","X2009.12.31","X2010.01.31","X2010.02.28","X2010.03.31","X2010.04.30","X2010.05.31","X2010.06.30","X2010.07.31","X2010.08.31","X2010.09.30","X2010.10.31","X2010.11.30","X2010.12.31","X2011.01.31","X2011.02.28","X2011.03.31","X2011.04.30","X2011.05.31","X2011.06.30","X2011.07.31","X2011.08.31","X2011.09.30","X2011.10.31","X2011.11.30","X2011.12.31","X2012.01.31","X2012.02.29","X2012.03.31","X2012.04.30","X2012.05.31","X2012.06.30","X2012.07.31","X2012.08.31","X2012.09.30","X2012.10.31","X2012.11.30","X2012.12.31","X2013.01.31","X2013.02.28","X2013.03.31","X2013.04.30","X2013.05.31","X2013.06.30","X2013.07.31","X2013.08.31","X2013.09.30","X2013.10.31","X2013.11.30","X2013.12.31","X2014.01.31","X2014.02.28","X2014.03.31","X2014.04.30","X2014.05.31","X2014.06.30","X2014.07.31","X2014.08.31","X2014.09.30","X2014.10.31","X2014.11.30","X2014.12.31","X2015.01.31","X2015.02.28","X2015.03.31","X2015.04.30","X2015.05.31","X2015.06.30","X2015.07.31","X2015.08.31","X2015.09.30","X2015.10.31","X2015.11.30","X2015.12.31","X2016.01.31","X2016.02.29","X2016.03.31","X2016.04.30","X2016.05.31","X2016.06.30","X2016.07.31","X2016.08.31","X2016.09.30","X2016.10.31","X2016.11.30","X2016.12.31","X2017.01.31","X2017.02.28","X2017.03.31","X2017.04.30","X2017.05.31","X2017.06.30","X2017.07.31","X2017.08.31","X2017.09.30","X2017.10.31","X2017.11.30","X2017.12.31","X2018.01.31","X2018.02.28","X2018.03.31","X2018.04.30","X2018.05.31","X2018.06.30","X2018.07.31","X2018.08.31","X2018.09.30","X2018.10.31","X2018.11.30","X2018.12.31","X2019.01.31","X2019.02.28","X2019.03.31","X2019.04.30","X2019.05.31","X2019.06.30","X2019.07.31","X2019.08.31","X2019.09.30","X2019.10.31","X2019.11.30","X2019.12.31","X2020.01.31","X2020.02.29","X2020.03.31","X2020.04.30","X2020.05.31","X2020.06.30","X2020.07.31"
"1",97564,13,94109,"Zip","CA","CA","San Francisco","San Francisco-Oakland-Hayward","San Francisco County",509210,517701,526975,537057,548158,558981,571177,583820,596867,608707,623003,639411,656541,668887,675820,680214,683752,686819,686201,683541,680980,678762,673517,661892,651588,643110,640129,636546,636901,638211,642201,648520,652276,655574,656690,661787,664685,670595,674813,679957,678729,678301,679030,681006,682777,683988,688150,693313,702700,710571,718421,723730,731807,740124,748882,755230,765192,776431,787929,797633,805314,817784,827232,840319,850916,861734,870384,877386,885980,895745,902874,909252,911381,907800,905146,900845,902756,904552,906545,908069,905927,902350,899755,899408,900567,906908,913882,925198,929040,930920,930435,933102,936362,936848,937821,932412,927795,915477,909564,903258,904343,900093,893206,885417,880366,876602,871404,864157,857784,849477,841004,827968,814825,806468,803942,797539,787600,780719,777137,783632,787556,795759,793799,792746,789002,787898,781744,780980,779708,779706,775537,765941,757646,749341,747778,748174,747463,743664,742193,739810,740104,737937,738520,740378,741833,749179,756262,763535,768635,775709,787690,802123,817913,832117,841379,849271,862863,868049,877326,883824,899648,915587,926878,939055,943890,946885,949326,960224,968772,977481,979973,985333,990459,989382,990952,984232,983478,986210,1003230,1011024,1013515,1024045,1040646,1060887,1066693,1083095,1102385,1122596,1137541,1146048,1146333,1152761,1164870,1168523,1161292,1142913,1137445,1126326,1110532,1095307,1090760,1095829,1103578,1105366,1104940,1100369,1098728,1102698,1111056,1118016,1126613,1139426,1149839,1153315,1153439,1151709,1148622,1150153,1163067,1177461,1184494,1193450,1198702,1203135,1200550,1196832,1189991,1180190,1181988,1181523,1180127,1173613,1177612,1182537,1185327,1180963,1178105,1183296,1191693,1203702,1207570,1211730,1210772,1212158,1207935,1202748,1200641
"2",96107,22,90250,"Zip","CA","CA","Hawthorne","Los Angeles-Long Beach-Anaheim","Los Angeles County",205298,206625,208278,210055,212336,214246,216093,217835,219940,221550,223251,225045,226903,228753,230413,232660,234563,236702,238421,240558,242413,244998,247602,250519,253250,256350,259626,263051,266038,269595,273487,277668,281873,286537,291487,296289,300496,304413,308788,312823,317936,322246,328195,334285,340724,345744,351658,358223,366517,374124,381592,389683,398705,407952,416113,423747,432859,441811,449459,456465,462707,471797,480453,489719,496901,504788,513557,522547,531659,541319,548611,554448,559510,563512,568112,570652,575330,578905,580991,582811,580668,579730,579590,581641,581594,579633,577654,578274,577388,575684,572675,568360,563567,556409,550801,544547,538672,531029,520169,506821,491600,478377,465309,453619,444524,436709,427206,414921,406880,401923,399084,394901,392543,390606,389364,389012,387925,387337,388698,392485,392393,390403,389893,391167,394008,392319,391988,389935,389141,387593,384427,382431,381719,382119,380313,378621,373807,373529,371811,371029,368732,366541,366293,364224,362419,360013,358679,358205,360462,361897,363571,364627,367366,371316,374626,380196,385396,393483,400930,409102,414533,420772,427016,435560,441722,446296,450210,452508,455239,454899,456048,456156,458081,458715,461789,462772,465055,466531,469175,471978,475189,479153,482916,484663,487383,490220,492748,495011,497516,501369,505871,511275,514981,518463,521120,526824,530702,535211,536717,540216,544402,550085,553476,556291,560882,565707,570010,572980,577818,582186,587714,592384,595970,598296,602444,606821,611853,616696,623066,627800,631863,635407,639493,641845,644213,646872,649532,649772,649093,646361,644176,644193,648523,653907,655255,654948,655326,658057,660351,664511,668824,675012,680449,685447,687374,689194,694206
"3",97771,40,94565,"Zip","CA","CA","Pittsburg","San Francisco-Oakland-Hayward","Contra Costa County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313134,310843,309297,305899,303271,303774,305054,306628,304560,303296,301268,302519,302487,302182,298773,296488,294505,289906,285754,282413,284923,285204,287014,284530,283501,284307,288645,293316,297373,299688,299054,297936,295780,297061,298437,301491,306070,311146,317932,323283,326901,330479,337275,341379,345722,349226,353582,356484,357969,362447,369344,376821,385010,394191,399999,407910,412591,418756,423647,430460,437285,438678,433973,430842,432594,439557,448479,451546,459272,462745,472803,477892,484574,490525,498374,502914,502090,494494,488029,489399,489752,495999,492144,493439,490853,493311,497044,502566,509033,518482,523300,526512,525413,524754,526556,528273,531061,533533,536619,540959,544066,544267,545630,548046,553726,556161,561194,566208,574780,581026,584459,583951,586355,590189,594785,594207,595993,597155,596898,593021,591852,590413,588816,586887,588667,589770,589269,587532,585711,586467,586717,589478,588441,588778,590528,594184,594005,594274,595454
"4",96027,44,90046,"Zip","CA","CA","Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County",258947,261082,263841,266199,268712,270488,272408,274827,277750,280927,284422,288153,291106,293912,296192,299116,301705,304028,305322,306741,307638,309362,310924,313251,315866,319304,322961,326871,331137,336650,343251,349429,356056,362573,369419,374943,379986,384040,389173,393965,399111,403256,408427,414551,420186,424734,430380,437551,446540,455490,463938,473471,484583,494903,503457,511349,522181,532646,540852,547985,553689,561546,568575,575651,579981,586480,594524,603279,610889,619111,625628,630267,634728,638825,644082,647566,652511,655812,658087,659321,657283,658128,660360,666054,669106,670104,670013,670597,670268,668625,665300,661006,656851,652539,648722,645050,640159,635131,626910,618502,608914,600935,592703,586110,583384,576232,569292,556515,551882,548955,550148,549704,549665,553142,559721,568235,574902,581742,586436,591912,593104,591632,590848,591475,596706,593506,587957,581110,572880,567532,560130,559238,557663,557516,555633,553573,547415,545352,543865,541525,539741,536618,538267,538266,539051,539503,539137,540215,542901,547478,552757,554415,557331,562596,571532,581885,590873,603013,615736,629342,640162,650173,660659,675327,688668,697403,702237,703467,709112,711627,716956,720539,726507,732429,736816,741547,745972,755523,766246,778411,788933,800178,810895,818555,828747,837911,849721,860369,873126,886991,899303,912983,920710,930392,937945,953542,965029,978804,990982,1006517,1021463,1031964,1039038,1047125,1061072,1072442,1084534,1094047,1110142,1122680,1134244,1143689,1154939,1167489,1185602,1202179,1221535,1241092,1262025,1276582,1283900,1291373,1301603,1312575,1321905,1331291,1341722,1348150,1353884,1353547,1354847,1361135,1376452,1392587,1403224,1411147,1420920,1432077,1440036,1451605,1460735,1475234,1487485,1499307,1506100,1512793,1522780
"5",97711,88,94501,"Zip","CA","CA","Alameda","San Francisco-Oakland-Hayward","Alameda County",258689,263623,267741,272130,278642,283289,288652,291379,297024,301761,307070,312692,316331,320214,325622,331257,335572,337879,340348,342915,343875,343453,343556,342930,343256,343769,344121,346559,348779,353721,357721,363383,368651,374051,378363,382117,385424,389092,392072,394432,395596,396947,399131,400997,402675,405391,410127,415771,422182,426830,433246,438311,445743,452510,460358,467189,475467,482037,489258,496016,503304,510980,517337,525130,532293,538312,541287,544736,548179,553456,555232,556604,555408,556961,557043,555990,553778,553068,553197,553861,552114,551690,550152,550136,549090,544802,542383,541039,539716,536025,533865,532909,533230,528221,525104,518533,516996,513009,508990,504516,502340,499874,497464,493421,489407,484262,477676,475567,473547,479321,483759,485890,483250,486095,487080,490324,491074,498419,506934,514208,519695,520424,521337,523265,527923,528047,525891,516477,509341,501992,500974,496983,492590,487440,483788,477291,469529,462125,465825,474442,484521,485587,479999,475738,472845,472534,472214,476043,482931,491857,494295,498514,501412,511717,523521,537056,551714,562508,575877,590225,608212,623964,632722,636284,640061,647014,656178,665643,672229,680954,683538,684286,679918,676978,679221,684770,689997,695126,700827,705775,708716,712705,722649,733935,743219,751592,761564,773834,788200,796667,800803,805843,815573,826467,828699,832063,837032,843258,843741,842766,840141,845584,852605,858405,862338,865842,875972,881834,887215,894992,903792,910379,920660,929286,941467,954491,967221,975699,978926,985420,994008,999328,1007641,1018550,1025481,1030970,1032821,1027307,1015768,1010685,1013889,1022144,1032184,1041480,1046741,1044814,1047159,1050455,1053680,1061628,1073929,1082567,1085791,1083617,1078555,1074555,1071670
"6",97565,94,94110,"Zip","CA","CA","San Francisco","San Francisco-Oakland-Hayward","San Francisco County",460309,467780,477071,487010,499407,511430,524283,538537,552999,567396,581544,596985,610344,622049,629456,636510,640043,639577,635571,630602,628235,625185,622215,616502,613223,609092,608902,607594,612925,622798,635176,645334,650113,654371,656012,659179,660897,667887,673764,681476,679008,675385,671364,674247,678254,682152,688119,695593,707011,716329,726023,733143,745411,757450,771156,781181,795157,811730,829017,844298,855933,871237,882826,897567,910339,924086,937060,944932,954931,962701,967045,968630,967087,961790,957468,952623,952525,952045,948600,947863,943212,938415,936258,940067,945623,953262,959521,969431,972549,976107,978880,983517,988868,990493,992350,984149,978243,966070,961844,953755,952712,942725,931577,920339,909772,901891,891226,882315,874510,864775,857469,845275,832792,826067,826443,821566,813973,810167,812108,823010,826867,835287,831849,836407,838771,843249,838440,841035,844086,845320,838955,826474,820996,815406,816192,814467,812246,806449,803540,797167,794367,794550,799740,805242,803877,808401,813804,820441,823712,831240,847008,871744,894583,908607,914368,921706,943226,952737,964059,971742,996709,1021594,1038237,1046065,1051064,1061260,1077166,1100246,1116077,1141909,1162541,1187038,1201280,1208051,1218230,1222718,1231178,1240290,1261062,1272510,1278700,1290376,1310052,1333885,1338997,1353356,1370987,1391904,1410107,1423366,1426887,1432247,1445992,1450755,1444026,1419575,1415558,1407180,1399821,1392834,1398346,1408010,1423399,1430262,1432351,1424408,1419871,1426832,1440787,1453919,1465802,1478775,1485009,1488284,1491216,1504013,1512346,1527346,1551822,1582067,1597679,1616861,1620158,1629313,1622216,1622596,1612676,1598187,1594450,1591446,1589604,1577789,1579208,1580133,1587401,1581935,1584611,1590227,1601835,1612853,1618049,1621404,1618783,1618900,1613829,1607747,1603836
"7",96015,99,90034,"Zip","CA","CA","Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County",341412,344358,346455,348654,351645,356211,359821,364304,367844,370972,374272,377698,380549,383226,387307,392240,396425,398799,401374,404513,408737,413891,417884,422034,425922,430771,435358,440590,445857,452164,458910,465728,471612,478188,486123,494213,501668,509110,517497,523850,530482,536354,545598,555472,566310,575037,585592,597146,610602,621554,632305,646181,663024,678967,691095,701543,714237,726329,735370,743002,749592,761746,771862,782334,787984,796782,806871,818852,830466,842898,852547,860350,869059,874911,882904,886166,893753,896585,897408,895264,889417,886253,883613,884577,881499,878011,874223,875392,873701,872157,868627,865042,859898,851581,846347,842028,839262,832191,818702,801552,784514,776901,770958,765650,759583,755282,747628,731748,719074,714724,715233,713894,710237,701777,694964,692725,694767,695574,698475,705912,711174,708625,708908,711071,718603,718164,717648,715272,713134,710849,703643,699555,694845,693883,690080,687448,681331,680180,678778,674133,668664,661619,662906,662300,663456,662525,661204,661493,664532,670620,675393,679428,684161,695783,705117,715811,723330,737891,754086,770476,783124,794379,808176,827298,843727,852070,857203,860602,867318,866037,864405,862073,863238,865126,869032,866688,864553,863656,870183,877312,886220,895848,906935,913153,921281,928168,936775,948216,959884,970525,976584,985353,990286,999428,1006668,1019564,1028553,1038327,1041685,1046419,1052114,1061495,1066863,1072311,1080631,1087394,1091913,1095426,1103194,1111500,1119057,1126950,1139157,1154667,1176772,1193739,1208332,1221501,1239798,1255489,1266391,1272955,1281310,1286817,1289376,1289068,1288289,1285981,1286270,1280676,1275219,1275229,1289106,1306364,1311045,1310184,1309075,1316775,1322918,1333553,1343901,1361138,1377612,1392196,1398650,1405877,1424473
"8",98325,103,95630,"Zip","CA","CA","Folsom","Sacramento--Roseville--Arden-Arcade","Sacramento County",236666,238171,240063,242020,244068,245686,248314,251154,255005,259134,264014,268749,273421,277723,282144,287035,292325,298066,302888,306466,308889,310699,312541,314722,316639,319328,321582,323976,325963,328016,330617,334017,338035,342252,346663,350880,355017,358335,362061,367077,371398,375408,377349,380742,383695,388295,391730,396259,400530,405551,411146,414757,420632,426766,436667,444983,453723,461636,470744,478384,487578,496171,504488,512477,519777,527540,533404,538858,544787,551147,556354,561110,562780,563401,562123,561568,559894,558364,555216,551756,545892,538426,532263,523684,518112,513693,512207,508861,502886,496020,489712,484444,479654,470897,461458,455976,450231,443408,431900,423024,416881,410337,406113,400592,396352,395099,392708,390296,385566,382077,380879,380610,379351,378954,374996,372589,370354,369923,369885,366896,365802,365087,365674,363966,363486,362918,362831,360612,356045,351499,348831,349369,347963,344569,339281,335807,331084,326960,324432,324000,324689,323333,321374,318250,317511,318001,320295,321396,323105,324004,326297,329738,334845,341186,346003,351448,357450,365111,372923,382249,393214,404623,415277,421399,426489,429839,436301,442913,446191,446998,446036,444607,442172,440844,437710,438236,438127,440367,440838,439341,440359,442682,446270,449508,451133,452134,454320,455902,458232,460537,462809,467674,470582,472137,473059,475547,479781,482076,483915,486875,490322,493113,496166,497033,499953,503406,508145,510665,512255,516188,519792,522032,523534,526087,528261,531247,534137,538437,540480,541419,543362,546430,550309,553173,553632,554119,553744,555212,555258,554691,553909,555784,559733,563890,564764,564689,565936,568669,572023,573787,576199,578254,581334,583318,583330,582170,583229
"9",96239,112,90805,"Zip","CA","CA","Long Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County",153714,154627,155795,157289,159148,160796,161761,162858,163976,165398,166728,168344,169630,170902,171986,173411,174615,175971,177431,179081,180596,182162,183803,185706,187629,189851,192196,194649,196894,199381,202140,205122,208231,211736,215554,219104,222312,225290,228783,231970,235576,238823,243215,248060,252830,256776,261209,266521,273078,279410,285795,292919,301425,309863,317397,323993,332260,340425,347884,354609,360643,368332,375155,382449,387734,393915,400707,408470,416097,424420,430808,436400,441401,445818,451002,454656,459845,463784,467023,469355,468853,468811,469599,471547,471565,470390,468711,468505,466886,465289,462044,458656,454428,449348,444261,438173,432147,424125,413332,400131,385479,373396,360642,346894,333637,321345,309764,296984,287018,279997,275282,270784,267597,263279,260548,260105,261115,261345,261619,263344,264247,263593,263747,264322,266240,265293,265345,263944,263501,262814,261689,260925,260166,260023,258431,257289,254231,254345,253416,252756,250454,248692,248732,248271,247975,247145,246898,247257,248785,250428,251389,253016,255413,259639,262801,267426,270987,276983,283014,289721,295461,301159,308162,315490,321612,324849,327720,329250,332113,332296,333017,332394,332916,333284,334466,334323,334609,335631,338040,340571,343696,347272,350468,352052,354143,355773,357333,359026,361413,364065,366516,369877,371889,374613,377031,382165,385821,389653,391543,394504,398079,402519,404950,406356,408796,411183,413633,414794,417507,420152,423885,427344,430309,432382,436678,441192,445537,449249,453140,456490,459364,462162,464753,465755,465885,466237,466118,465609,464879,462938,460948,461342,464750,469175,470177,470325,471093,474034,476684,479783,483071,487844,492828,496629,498278,499469,503675
"10",96193,114,90650,"Zip","CA","CA","Norwalk","Los Angeles-Long Beach-Anaheim","Los Angeles County",162541,163460,164560,165550,166704,167843,169046,170421,171715,172737,173810,174951,176140,177335,178585,180361,182168,184028,185366,186867,188252,190319,192066,194176,196119,198479,201016,203681,206333,209267,213028,216963,221045,224943,229345,233727,237687,241371,245235,248701,252199,255198,259306,263589,268107,271663,276072,280864,287090,292965,299001,306164,314700,323124,330048,336733,344847,353460,360554,367009,372509,379968,386778,393659,398822,405497,412971,420931,428444,436660,443649,449991,456182,461294,467010,470887,476613,480724,484474,486867,486329,485524,485468,486969,486620,485002,483184,483597,482728,481302,478160,473738,468317,460805,453671,445996,439318,431159,420448,407100,392495,379029,366006,354369,345398,338084,330288,320285,311913,306670,302841,298864,294808,292110,290012,290233,289665,289858,290747,293355,294339,292674,292640,293469,297009,296809,297302,295125,294319,292680,290202,288154,286749,287092,285951,285210,282254,281805,280476,280005,278635,277088,277196,276937,277361,276834,276535,276499,277658,278995,280858,282157,284081,287156,289968,293823,296217,301190,306220,312791,318072,324023,329683,336599,342308,346692,350406,353072,357118,358496,360604,360876,362270,362638,363996,364839,365965,367384,369425,371402,373943,376967,380317,381808,383922,385842,387849,389476,391390,393932,396558,400518,403021,405685,406756,410368,412945,415985,417953,420974,424955,428649,430709,431783,434085,436265,438902,440723,443934,446851,450375,453184,455441,457009,460494,463816,467128,470591,474309,477176,479244,481657,483958,484726,484354,484528,484644,484104,483377,480784,478493,478048,480685,483819,484209,484148,485180,487705,489716,492540,495406,499870,504201,507851,509530,511021,515011
