city,county,month,year,house_price
adelanto,san bernardino,01,2009,111668
adelanto,san bernardino,01,2010,90721
adelanto,san bernardino,01,2011,94072
adelanto,san bernardino,01,2012,90863
adelanto,san bernardino,01,2013,102250
adelanto,san bernardino,01,2014,137918
adelanto,san bernardino,01,2015,152136
adelanto,san bernardino,01,2016,163274
adelanto,san bernardino,01,2017,178941
adelanto,san bernardino,01,2018,201787
adelanto,san bernardino,01,2019,217424
adelanto,san bernardino,01,2020,226040
adelanto,san bernardino,02,2009,107308
adelanto,san bernardino,02,2010,91162
adelanto,san bernardino,02,2011,94216
adelanto,san bernardino,02,2012,89923
adelanto,san bernardino,02,2013,104978
adelanto,san bernardino,02,2014,140632
adelanto,san bernardino,02,2015,152684
adelanto,san bernardino,02,2016,164052
adelanto,san bernardino,02,2017,181058
adelanto,san bernardino,02,2018,203470
adelanto,san bernardino,02,2019,218230
adelanto,san bernardino,02,2020,227029
adelanto,san bernardino,03,2009,102977
adelanto,san bernardino,03,2010,92535
adelanto,san bernardino,03,2011,93849
adelanto,san bernardino,03,2012,89589
adelanto,san bernardino,03,2013,107658
adelanto,san bernardino,03,2014,143149
adelanto,san bernardino,03,2015,153260
adelanto,san bernardino,03,2016,165106
adelanto,san bernardino,03,2017,182610
adelanto,san bernardino,03,2018,205187
adelanto,san bernardino,03,2019,218970
adelanto,san bernardino,03,2020,228238
adelanto,san bernardino,04,2009,99673
adelanto,san bernardino,04,2010,93299
adelanto,san bernardino,04,2011,93465
adelanto,san bernardino,04,2012,90238
adelanto,san bernardino,04,2013,110208
adelanto,san bernardino,04,2014,144850
adelanto,san bernardino,04,2015,154271
adelanto,san bernardino,04,2016,166053
adelanto,san bernardino,04,2017,184683
adelanto,san bernardino,04,2018,206563
adelanto,san bernardino,04,2019,219427
adelanto,san bernardino,04,2020,229799
adelanto,san bernardino,05,2009,96614
adelanto,san bernardino,05,2010,94670
adelanto,san bernardino,05,2011,92734
adelanto,san bernardino,05,2012,90649
adelanto,san bernardino,05,2013,113416
adelanto,san bernardino,05,2014,146314
adelanto,san bernardino,05,2015,154780
adelanto,san bernardino,05,2016,167627
adelanto,san bernardino,05,2017,185984
adelanto,san bernardino,05,2018,208699
adelanto,san bernardino,05,2019,220835
adelanto,san bernardino,05,2020,230458
adelanto,san bernardino,06,2009,94128
adelanto,san bernardino,06,2010,95584
adelanto,san bernardino,06,2011,92493
adelanto,san bernardino,06,2012,91261
adelanto,san bernardino,06,2013,116485
adelanto,san bernardino,06,2014,147515
adelanto,san bernardino,06,2015,155727
adelanto,san bernardino,06,2016,168547
adelanto,san bernardino,06,2017,188469
adelanto,san bernardino,06,2018,210152
adelanto,san bernardino,06,2019,221933
adelanto,san bernardino,06,2020,231540
adelanto,san bernardino,07,2009,91905
adelanto,san bernardino,07,2010,96726
adelanto,san bernardino,07,2011,92349
adelanto,san bernardino,07,2012,91603
adelanto,san bernardino,07,2013,119891
adelanto,san bernardino,07,2014,148737
