"","ZipCode","City","Metro","CountyName"
"1",94109,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"2",90250,"Hawthorne","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"3",94565,"Pittsburg","San Francisco-Oakland-Hayward","Contra Costa County"
"4",90046,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"5",94501,"Alameda","San Francisco-Oakland-Hayward","Alameda County"
"6",94110,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"7",90034,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"8",95630,"Folsom","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"9",90805,"Long Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"10",90650,"Norwalk","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"11",90044,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"12",92683,"Westminster","Los Angeles-Long Beach-Anaheim","Orange County"
"13",91709,"Chino Hills","Riverside-San Bernardino-Ontario","San Bernardino County"
"14",94558,"Napa","Napa","Napa County"
"15",90026,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"16",91910,"Chula Vista","San Diego-Carlsbad","San Diego County"
"17",93722,"Fresno","Fresno","Fresno County"
"18",94533,"Fairfield","Vallejo-Fairfield","Solano County"
"19",95608,"Carmichael","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"20",92677,"Laguna Niguel","Los Angeles-Long Beach-Anaheim","Orange County"
"21",90066,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"22",92336,"Fontana","Riverside-San Bernardino-Ontario","San Bernardino County"
"23",95823,"Sacramento","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"24",92345,"Hesperia","Riverside-San Bernardino-Ontario","San Bernardino County"
"25",95747,"Roseville","Sacramento--Roseville--Arden-Arcade","Placer County"
"26",92804,"Anaheim","Los Angeles-Long Beach-Anaheim","Orange County"
"27",92126,"San Diego","San Diego-Carlsbad","San Diego County"
"28",92503,"Riverside","Riverside-San Bernardino-Ontario","Riverside County"
"29",91911,"Chula Vista","San Diego-Carlsbad","San Diego County"
"30",92101,"San Diego","San Diego-Carlsbad","San Diego County"
"31",90019,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"32",94536,"Fremont","San Francisco-Oakland-Hayward","Alameda County"
"33",92592,"Temecula","Riverside-San Bernardino-Ontario","Riverside County"
"34",90280,"South Gate","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"35",90201,"Bell","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"36",91730,"Rancho Cucamonga","Riverside-San Bernardino-Ontario","San Bernardino County"
"37",90004,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"38",92109,"San Diego","San Diego-Carlsbad","San Diego County"
"39",91342,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"40",90706,"Bellflower","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"41",92335,"Fontana","Riverside-San Bernardino-Ontario","San Bernardino County"
"42",95123,"San Jose","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"43",92021,"El Cajon","San Diego-Carlsbad","San Diego County"
"44",93065,"Simi Valley","Oxnard-Thousand Oaks-Ventura","Ventura County"
"45",92627,"Costa Mesa","Los Angeles-Long Beach-Anaheim","Orange County"
"46",90025,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"47",95035,"Milpitas","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"48",91710,"Chino","Riverside-San Bernardino-Ontario","San Bernardino County"
"49",90011,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"50",94544,"Hayward","San Francisco-Oakland-Hayward","Alameda County"
"51",90027,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"52",93727,"Fresno","Fresno","Fresno County"
"53",94568,"Dublin","San Francisco-Oakland-Hayward","Alameda County"
"54",95051,"Santa Clara","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"55",91335,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"56",95687,"Vacaville","Vallejo-Fairfield","Solano County"
"57",90731,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"58",93550,"Palmdale","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"59",93536,"Lancaster","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"60",92630,"Lake Forest","Los Angeles-Long Beach-Anaheim","Orange County"
"61",94509,"Antioch","San Francisco-Oakland-Hayward","Contra Costa County"
"62",95758,"Elk Grove","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"63",93306,"Bakersfield","Bakersfield","Kern County"
"64",93307,"Bakersfield","Bakersfield","Kern County"
"65",93535,"Lancaster","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"66",94122,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"67",93274,"Tulare","Visalia-Porterville","Tulare County"
"68",93257,"Porterville","Visalia-Porterville","Tulare County"
"69",93230,"Hanford","Hanford-Corcoran","Kings County"
"70",93309,"Bakersfield","Bakersfield","Kern County"
"71",94541,"Hayward","San Francisco-Oakland-Hayward","Alameda County"
"72",94538,"Fremont","San Francisco-Oakland-Hayward","Alameda County"
"73",95076,"Watsonville","Santa Cruz-Watsonville","Santa Cruz County"
"74",90802,"Long Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"75",94513,"Brentwood","San Francisco-Oakland-Hayward","Contra Costa County"
"76",90631,"La Habra","Los Angeles-Long Beach-Anaheim","Orange County"
"77",92104,"San Diego","San Diego-Carlsbad","San Diego County"
"78",92647,"Huntington Beach","Los Angeles-Long Beach-Anaheim","Orange County"
"79",92154,"San Diego","San Diego-Carlsbad","San Diego County"
"80",92618,"Irvine","Los Angeles-Long Beach-Anaheim","Orange County"
"81",92115,"San Diego","San Diego-Carlsbad","San Diego County"
"82",95355,"Modesto","Modesto","Stanislaus County"
"83",94587,"Union City","San Francisco-Oakland-Hayward","Alameda County"
"84",95670,"Rancho Cordova","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"85",92646,"Huntington Beach","Los Angeles-Long Beach-Anaheim","Orange County"
"86",92620,"Irvine","Los Angeles-Long Beach-Anaheim","Orange County"
"87",95014,"Cupertino","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"88",92376,"Rialto","Riverside-San Bernardino-Ontario","San Bernardino County"
"89",95112,"San Jose","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"90",94080,"South San Francisco","San Francisco-Oakland-Hayward","San Mateo County"
"91",92648,"Huntington Beach","Los Angeles-Long Beach-Anaheim","Orange County"
"92",92130,"San Diego","San Diego-Carlsbad","San Diego County"
"93",92105,"San Diego","San Diego-Carlsbad","San Diego County"
"94",92122,"San Diego","San Diego-Carlsbad","San Diego County"
"95",95648,"Lincoln","Sacramento--Roseville--Arden-Arcade","Placer County"
"96",92563,"Murrieta","Riverside-San Bernardino-Ontario","Riverside County"
"97",90036,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"98",94112,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"99",94087,"Sunnyvale","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"100",95125,"San Jose","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"101",90640,"Montebello","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"102",92562,"Murrieta","Riverside-San Bernardino-Ontario","Riverside County"
"103",92117,"San Diego","San Diego-Carlsbad","San Diego County"
"104",94086,"Sunnyvale","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"105",94806,"San Pablo","San Francisco-Oakland-Hayward","Contra Costa County"
"106",92128,"San Diego","San Diego-Carlsbad","San Diego County"
"107",94591,"Vallejo","Vallejo-Fairfield","Solano County"
"108",91801,"Alhambra","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"109",91331,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"110",92805,"Anaheim","Los Angeles-Long Beach-Anaheim","Orange County"
"111",90042,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
