county,month,year,earnings
alameda,4,1998,3329
alameda,5,1994,2741
alameda,5,2014,5330
alameda,9,2019,6535
alameda,1,1997,3118
alameda,5,1995,2861
alameda,7,2015,5707
alameda,1,2011,5112
alameda,4,1999,3466
alameda,1,2000,3855
alameda,2,2011,5112
alameda,5,1993,2660
alameda,9,2008,4838
alameda,2,1997,3118
alameda,11,2000,4147
alameda,4,2019,6613
alameda,2,2012,5506
alameda,9,2003,4230
alameda,4,2015,5585
alameda,12,1999,3945
alameda,2,1998,3270
alameda,5,2013,5197
alameda,11,2003,4400
alameda,2,1996,2943
alameda,4,2018,6386
alameda,11,2001,4143
alameda,12,1991,2689
alameda,9,2014,5616
alameda,5,2015,5585
alameda,11,2006,4848
alameda,1,1999,3345
alameda,9,2004,4291
alameda,5,2010,4874
alameda,8,2000,3896
alameda,6,1996,2975
alameda,1,1998,3270
alameda,6,2006,4582
alameda,4,2005,4343
alameda,7,1993,2733
alameda,12,2007,5137
alameda,1,2019,6925
alameda,9,2006,4593
alameda,9,2007,4672
alameda,2,2014,5746
alameda,11,1999,3945
alameda,4,2017,6182
alameda,5,2000,3877
alameda,8,2009,4729
alameda,3,2013,5482
alameda,10,1991,2689
alameda,1,2001,4104
alameda,9,2009,4729
alameda,8,2018,6337
alameda,2,2017,6549
alameda,1,2012,5506
alameda,11,2002,4241
alameda,5,2006,4582
alameda,5,1996,2975
alameda,1,2013,5482
alameda,11,2009,5190
alameda,6,2001,4008
alameda,1,1994,2681
alameda,2,2016,6123
alameda,5,1997,3117
alameda,9,2002,3960
alameda,5,2005,4343
alameda,5,1998,3329
alameda,2,2010,4913
alameda,6,2018,6386
alameda,1,2006,4879
alameda,1,1996,2943
alameda,5,2009,4739
alameda,4,2013,5197
alameda,3,1992,2587
alameda,8,2011,5237
alameda,1,2014,5746
alameda,11,2017,6503
alameda,2,2013,5482
alameda,9,2016,6168
alameda,12,1997,3426
alameda,7,2002,3960
alameda,4,2016,6313
alameda,3,2001,4104
alameda,12,1998,3678
alameda,1,2010,4913
alameda,7,2014,5616
alameda,2,2002,4052
alameda,11,2004,4673
alameda,5,2001,4008
alameda,2,1995,2892
alameda,12,2006,4848
alameda,12,2003,4400
alameda,12,2000,4147
alameda,8,2002,3960
alameda,3,2014,5746
alameda,10,2015,6188
alameda,1,1992,2587
alameda,7,2018,6337
alameda,5,2016,6313
alameda,9,2018,6337
alameda,4,1997,3117
alameda,6,2011,5097
alameda,4,2011,5097
alameda,5,2017,6182
alameda,6,2005,4343
alameda,1,1995,2892
alameda,11,2005,4692
alameda,6,1995,2861
alameda,10,1998,3678
alameda,3,1998,3270
alameda,2,2001,4104
alameda,8,2007,4672
alameda,3,2008,4985
alameda,6,2007,4741
alameda,2,1999,3345
alameda,8,2008,4838
alameda,7,1992,2612
alameda,1,2018,6847
alameda,2,2003,4091
alameda,11,1997,3426
alameda,9,1996,2995
alameda,5,2002,3973
alameda,9,2017,6112
alameda,7,1994,2851
alameda,5,1992,2610
alameda,8,2010,5019
alameda,9,1998,3329
alameda,3,2002,4052
alameda,12,2005,4692
alameda,2,2005,4415
alameda,9,1999,3513
alameda,10,2014,5865
alameda,3,1993,2580
alameda,2,2006,4879
alameda,9,2000,3896
alameda,7,2006,4593
alameda,12,1992,2881
alameda,2,2007,5008
alameda,4,2010,4874
alameda,1,1993,2580
alameda,6,2004,4253
alameda,2,2008,4985
alameda,9,1992,2612
alameda,6,2015,5585
alameda,2,2009,4789
alameda,2,2000,3855
alameda,3,1997,3118
alameda,4,2012,5119
alameda,10,2018,6734
alameda,7,2010,5019
alameda,11,2015,6188
alameda,5,1999,3466
alameda,5,2019,6613
alameda,7,2011,5237
alameda,8,2017,6112
alameda,1,2007,5008
alameda,9,2005,4660
alameda,6,1997,3117
alameda,11,2007,5137
alameda,4,1995,2861
alameda,5,2011,5097
alameda,6,2009,4739
alameda,4,2006,4582
alameda,6,2019,6613
alameda,7,2003,4230
alameda,10,1993,2897
alameda,2,2015,6031
alameda,12,2002,4241
alameda,12,2015,6188
alameda,10,1994,2860
alameda,5,2004,4253
alameda,11,2010,5451
alameda,3,2003,4091
alameda,10,2004,4673
alameda,11,2011,5213
alameda,6,2002,3973
alameda,12,2017,6503
alameda,6,1992,2610
alameda,9,2011,5237
alameda,3,2015,6031
alameda,3,1995,2892
alameda,5,2007,4741
alameda,3,1996,2943
alameda,9,2012,5144
alameda,12,1993,2897
alameda,11,1992,2881
alameda,12,1994,2860
alameda,1,2005,4415
alameda,4,1992,2610
alameda,5,2018,6386
alameda,8,2006,4593
alameda,12,1995,3041
alameda,6,2017,6182
alameda,7,2000,3896
alameda,12,2012,10164
alameda,10,2010,5451
alameda,4,2004,4253
alameda,9,1995,2870
alameda,6,2008,4753
alameda,12,2013,5594
alameda,11,1996,3203
alameda,10,2000,4147
alameda,11,2008,5042
alameda,4,1996,2975
alameda,12,2001,4143
alameda,6,1999,3466
alameda,2,1994,2681
alameda,4,2007,4741
alameda,5,2003,4064
alameda,10,2013,5594
alameda,7,2019,6535
alameda,10,2003,4400
alameda,8,2001,3854
alameda,6,2012,5119
alameda,7,2017,6112
alameda,4,2009,4739
alameda,7,2016,6168
alameda,3,1994,2681
alameda,12,2008,5042
alameda,4,2000,3877
alameda,6,2003,4064
alameda,11,1991,2689
alameda,8,2004,4291
alameda,9,2015,5707
alameda,4,2001,4008
alameda,10,2017,6503
alameda,8,2005,4660
alameda,12,2010,5451
alameda,6,2016,6313
alameda,7,1999,3513
alameda,9,2013,5322
alameda,12,2011,5213
alameda,4,1993,2660
alameda,8,2016,6168
alameda,9,1994,2851
alameda,11,2016,6137
alameda,3,2012,5506
alameda,4,2014,5330
alameda,12,1996,3203
alameda,3,1999,3345
alameda,1,2008,4985
alameda,10,2011,5213
alameda,1,2009,4789
alameda,2,2004,4344
alameda,11,1998,3678
alameda,9,1997,3154
alameda,6,2010,4874
alameda,8,1999,3513
alameda,6,2000,3877
alameda,6,1993,2660
alameda,11,2013,5594
alameda,4,2008,4753
alameda,12,2016,6137
alameda,7,2008,4838
alameda,11,2014,5865
alameda,8,1994,2851
alameda,7,1996,2995
alameda,1,2002,4052
alameda,6,2013,5197
alameda,7,1997,3154
alameda,9,2001,3854
alameda,6,2014,5330
alameda,1,2016,6123
alameda,1,2017,6549
alameda,8,2014,5616
alameda,1,2004,4344
alameda,7,2012,5144
alameda,2,1992,2587
alameda,3,2009,4789
alameda,5,2008,4753
alameda,10,2008,5042
alameda,3,2007,5008
alameda,10,2009,5190
alameda,3,2018,6847
alameda,8,1996,2995
alameda,1,2003,4091
alameda,7,2004,4291
alameda,4,1994,2741
alameda,7,2001,3854
alameda,7,2005,4660
alameda,12,2009,5190
alameda,10,2007,5137
alameda,3,2017,6549
alameda,3,2000,3855
alameda,8,2019,6535
alameda,10,1992,2881
alameda,12,2004,4673
alameda,3,2011,5112
alameda,8,2003,4230
alameda,10,2016,6137
alameda,10,2006,4848
alameda,2,2019,6925
alameda,10,1996,3203
alameda,11,1995,3041
alameda,7,1998,3329
alameda,8,1993,2733
alameda,8,2015,5707
