county_name,county
Alameda County,alameda
Alpine County,alpine
Amador County,amador
Butte County,butte
Calaveras County,calaveras
Colusa County,colusa
Contra Costa County,contra costa
Del Norte County,del norte
El Dorado County,el dorado
Fresno County,fresno
Glenn County,glenn
Humboldt County,humboldt
Imperial County,imperial
Inyo County,inyo
Kern County,kern
Kings County,kings
Lake County,lake
Lassen County,lassen
Los Angeles County,los angeles
Madera County,madera
Marin County,marin
Mariposa County,mariposa
Mendocino County,mendocino
Merced County,merced
Modoc County,modoc
Mono County,mono
Monterey County,monterey
Napa County,napa
Nevada County,nevada
Orange County,orange
Placer County,placer
Plumas County,plumas
Riverside County,riverside
Sacramento County,sacramento
San Benito County,san benito
San Bernardino County,san bernardino
San Diego County,san diego
San Francisco County/city,san francisco
San Joaquin County,san joaquin
San Luis Obispo County,san luis obispo
San Mateo County,san mateo
Santa Barbara County,santa barbara
Santa Clara County,santa clara
Santa Cruz County,santa cruz
Shasta County,shasta
Sierra County,sierra
Siskiyou County,siskiyou
Solano County,solano
Sonoma County,sonoma
Stanislaus County,stanislaus
Sutter County,sutter
Tehama County,tehama
Trinity County,trinity
Tulare County,tulare
Tuolumne County,tuolumne
Ventura County,ventura
Yolo County,yolo
Yuba County,yuba
