city,county
adelanto,san bernardino
agoura hills,los angeles
alameda,alameda
albany,alameda
alhambra,los angeles
aliso viejo,orange
alturas,modoc
amador city,amador
american canyon,napa
anaheim,orange
anderson,shasta
angels camp,calaveras
antioch,contra costa
apple valley,san bernardino
arcadia,los angeles
arcata,humboldt
arroyo grande,san luis obispo
artesia,los angeles
arvin,kern
atascadero,san luis obispo
atherton,san mateo
atwater,merced
auburn,placer
avalon,los angeles
avenal,kings
azusa,los angeles
bakersfield,kern
baldwin park,los angeles
banning,riverside
barstow,san bernardino
beaumont,riverside
bell,los angeles
bell gardens,los angeles
bellflower,los angeles
belmont,san mateo
belvedere,marin
benicia,solano
berkeley,alameda
beverly hills,los angeles
big bear lake,san bernardino
biggs,butte
bishop,inyo
blue lake,humboldt
blythe,riverside
bradbury,los angeles
brawley,imperial
brea,orange
brentwood,contra costa
brisbane,san mateo
buellton,santa barbara
buena park,orange
burbank,los angeles
burlingame,san mateo
calabasas,los angeles
calexico,imperial
california city,kern
calimesa,riverside
calipatria,imperial
calistoga,napa
camarillo,ventura
campbell,santa clara
canyon lake,riverside
capitola,santa cruz
carlsbad,san diego
carmel-by-the-sea,monterey
carpinteria,santa barbara
carson,los angeles
cathedral city,riverside
ceres,stanislaus
cerritos,los angeles
chico,butte
chino,san bernardino
chino hills,san bernardino
chowchilla,madera
chula vista,san diego
citrus heights,sacramento
claremont,los angeles
clayton,contra costa
clearlake,lake
cloverdale,sonoma
clovis,fresno
coachella,riverside
coalinga,fresno
colfax,placer
colma,san mateo
colton,san bernardino
colusa,colusa
commerce,los angeles
compton,los angeles
concord,contra costa
corcoran,kings
corning,tehama
corona,riverside
coronado,san diego
corte madera,marin
costa mesa,orange
cotati,sonoma
covina,los angeles
crescent city,del norte
cudahy,los angeles
culver city,los angeles
cupertino,santa clara
cypress,orange
daly city,san mateo
dana point,orange
danville,contra costa
davis,yolo
del mar,san diego
del rey oaks,monterey
delano,kern
desert hot springs,riverside
diamond bar,los angeles
dinuba,tulare
dixon,solano
