house_price,crime_murder,crime_rape,crime_robbery,crime_assault,crime_burglary,crime_larceny,crime_vehicle,crime_arson,crime_index,property_house,property_house_per,property_townhouse,property_townhouse_per,property_low_rise,property_low_rise_per,property_mid_rise,property_mid_rise_per,property_high_rise,property_high_rise_per,quakes_minor,quakes_moderate,quakes_severe,income,interest,unemployment_rate,population,date
437682.25,129,379,4887,4415,11167,26308,10151,262,0.029008228081804525,309629,53,74635,12.7,72568,12.4,33130,5.7,87444,15,14,0,0,5112,0.13870967741935483,8.75,1510271,2011 Q1
448399.5,129,379,4887,4415,11167,26308,10151,262,0.029008228081804525,309629,53,74635,12.7,72568,12.4,33130,5.7,87444,15,0,0,0,5097,0.092,8.75,1510271,2011 Q2
441389.75,129,379,4887,4415,11167,26308,10151,262,0.029008228081804525,309629,53,74635,12.7,72568,12.4,33130,5.7,87444,15,14,56,0,5237,0.084,8.35,1510271,2011 Q3
436831.75,129,379,4887,4415,11167,26308,10151,262,0.029008228081804525,309629,53,74635,12.7,72568,12.4,33130,5.7,87444,15,56,56,0,5213,0.07161290322580646,7.6,1510271,2011 Q4
452697.75,148,446,5872,4561,12289,32011,11843,322,0.0309428536728664,307977,52.8,65776,11.3,76305,13.1,30982,5.3,94805,16.2,0,0,0,5506,0.1267741935483871,7.65,1510271,2012 Q1
467262.75,148,446,5872,4561,12289,32011,11843,322,0.0309428536728664,307977,52.8,65776,11.3,76305,13.1,30982,5.3,94805,16.2,14,0,0,5119,0.16166666666666668,7.6,1510271,2012 Q2
497112,148,446,5872,4561,12289,32011,11843,322,0.0309428536728664,307977,52.8,65776,11.3,76305,13.1,30982,5.3,94805,16.2,28,0,0,5144,0.14433333333333334,6.8,1510271,2012 Q3
532161.25,148,446,5872,4561,12289,32011,11843,322,0.0309428536728664,307977,52.8,65776,11.3,76305,13.1,30982,5.3,94805,16.2,28,0,0,10164,0.16451612903225807,6.5,1510271,2012 Q4
578822.5,106,331,6464,3981,10888,31289,12225,272,0.027745677772272298,306729,52.2,71579,12.2,75569,12.9,29592,5,95487,16.2,28,0,0,5482,0.1435483870967742,6.3,1510271,2013 Q1
607221,106,331,6464,3981,10888,31289,12225,272,0.027745677772272298,306729,52.2,71579,12.2,75569,12.9,29592,5,95487,16.2,14,0,0,5197,0.09366666666666666,6.35,1510271,2013 Q2
