city,county,year,month,unemployment_rate
adelanto,san bernardino,2009,12,20.4
adelanto,san bernardino,2009,11,20.7
adelanto,san bernardino,2009,10,20.5
adelanto,san bernardino,2009,9,20.2
adelanto,san bernardino,2009,8,20.2
adelanto,san bernardino,2009,7,20.5
adelanto,san bernardino,2009,6,19.9
adelanto,san bernardino,2009,5,18.6
adelanto,san bernardino,2009,4,17.9
adelanto,san bernardino,2009,3,18.3
adelanto,san bernardino,2009,2,17.8
adelanto,san bernardino,2009,1,17.1
adelanto,san bernardino,2008,12,15.3
adelanto,san bernardino,2008,11,14.6
adelanto,san bernardino,2008,10,14.3
adelanto,san bernardino,2008,9,13.9
adelanto,san bernardino,2008,8,13.9
adelanto,san bernardino,2008,7,13.6
adelanto,san bernardino,2008,6,12.6
adelanto,san bernardino,2008,5,11.4
adelanto,san bernardino,2008,4,10.4
adelanto,san bernardino,2008,3,10.9
adelanto,san bernardino,2008,2,10.3
adelanto,san bernardino,2008,1,10.2
adelanto,san bernardino,2007,12,9.5
adelanto,san bernardino,2007,11,9.6
adelanto,san bernardino,2007,10,9.4
adelanto,san bernardino,2007,9,9.3
adelanto,san bernardino,2007,8,9.4
adelanto,san bernardino,2007,7,9.8
adelanto,san bernardino,2007,6,9.2
adelanto,san bernardino,2007,5,8.1
adelanto,san bernardino,2007,4,8.2
adelanto,san bernardino,2007,3,8.3
adelanto,san bernardino,2007,2,8.3
adelanto,san bernardino,2007,1,8.4
adelanto,san bernardino,2006,12,7.3
adelanto,san bernardino,2006,11,7.7
adelanto,san bernardino,2006,10,7.4
adelanto,san bernardino,2006,9,7.6
adelanto,san bernardino,2006,8,8.1
adelanto,san bernardino,2006,7,8.6
adelanto,san bernardino,2006,6,8.1
adelanto,san bernardino,2006,5,7.3
adelanto,san bernardino,2006,4,7.3
adelanto,san bernardino,2006,3,7.7
adelanto,san bernardino,2006,2,7.9
adelanto,san bernardino,2006,1,7.8
adelanto,san bernardino,2005,12,7.2
adelanto,san bernardino,2005,11,8.1
adelanto,san bernardino,2005,10,8.1
adelanto,san bernardino,2005,9,8.2
adelanto,san bernardino,2005,8,8.4
adelanto,san bernardino,2005,7,9
adelanto,san bernardino,2005,6,8.8
adelanto,san bernardino,2005,5,7.9
adelanto,san bernardino,2005,4,8.1
adelanto,san bernardino,2005,3,8.7
adelanto,san bernardino,2005,2,8.9
adelanto,san bernardino,2005,1,8.9
adelanto,san bernardino,2004,12,8
adelanto,san bernardino,2004,11,8.5
adelanto,san bernardino,2004,10,8.5
adelanto,san bernardino,2004,9,8.6
adelanto,san bernardino,2004,8,9.1
adelanto,san bernardino,2004,7,9.8
adelanto,san bernardino,2004,6,9.9
adelanto,san bernardino,2004,5,8.9
adelanto,san bernardino,2004,4,9.3
adelanto,san bernardino,2004,3,10.1
adelanto,san bernardino,2004,2,9.6
adelanto,san bernardino,2004,1,9.9
adelanto,san bernardino,2003,12,8.7
adelanto,san bernardino,2003,11,9.6
adelanto,san bernardino,2003,10,9.6
adelanto,san bernardino,2003,9,9.7
adelanto,san bernardino,2003,8,10.4
adelanto,san bernardino,2003,7,10.7
adelanto,san bernardino,2003,6,10.9
adelanto,san bernardino,2003,5,9.4
adelanto,san bernardino,2003,4,9.6
adelanto,san bernardino,2003,3,10
adelanto,san bernardino,2003,2,9.9
adelanto,san bernardino,2003,1,10.2
adelanto,san bernardino,2002,12,9.2
adelanto,san bernardino,2002,11,9.7
adelanto,san bernardino,2002,10,9.6
adelanto,san bernardino,2002,9,9.4
adelanto,san bernardino,2002,8,10
adelanto,san bernardino,2002,7,10.3
adelanto,san bernardino,2002,6,9.9
adelanto,san bernardino,2002,5,8.9
adelanto,san bernardino,2002,4,9.3
adelanto,san bernardino,2002,3,9.5
adelanto,san bernardino,2002,2,9.2
adelanto,san bernardino,2002,1,9.5
adelanto,san bernardino,2001,12,8.2
adelanto,san bernardino,2001,11,8.5
adelanto,san bernardino,2001,10,8.4
adelanto,san bernardino,2001,9,8.1
adelanto,san bernardino,2001,8,8.6
adelanto,san bernardino,2001,7,8.4
adelanto,san bernardino,2001,6,8.3
adelanto,san bernardino,2001,5,7.2
adelanto,san bernardino,2001,4,7.7
adelanto,san bernardino,2001,3,8.2
adelanto,san bernardino,2001,2,7.8
adelanto,san bernardino,2001,1,8.1
