Region,County
Superior California,Butte
Superior California,Colusa
Superior California,El Dorado
Superior California,Glenn
Superior California,Lassen
Superior California,Modoc
Superior California,Nevada
Superior California,Placer
Superior California,Plumas
Superior California,Sacramento
Superior California,Shasta
Superior California,Sierra
Superior California,Siskiyou
Superior California,Sutter
Superior California,Tehama
Superior California,Yolo
Superior California,Yuba
North Coast,Del Norte
North Coast,Humboldt
North Coast,Lake
North Coast,Mendocino
North Coast,Napa
North Coast,Sonoma
North Coast,Trinity
San Francisco Bay,Alameda
San Francisco Bay,Contra Costa
San Francisco Bay,Marin
San Francisco Bay,San Francisco
San Francisco Bay,San Mateo
San Francisco Bay,Santa Clara
San Francisco Bay,Solano
Northern San Joaquin Valley,Alpine
Northern San Joaquin Valley,Amador
Northern San Joaquin Valley,Calaveras
Northern San Joaquin Valley,Madera
Northern San Joaquin Valley,Mariposa
Northern San Joaquin Valley,Merced
Northern San Joaquin Valley,Mono
Northern San Joaquin Valley,San Joaquin
Northern San Joaquin Valley,Stanislaus
Northern San Joaquin Valley,Tuolumne
Central Coast,Monterey
Central Coast,San Benito
Central Coast,San Luis Obispo
Central Coast,Santa Barbara
Central Coast,Santa Cruz
Central Coast,Ventura
Southern San Joaquin Valley,Fresno
Southern San Joaquin Valley,Inyo
Southern San Joaquin Valley,Kern
Southern San Joaquin Valley,Kings
Southern San Joaquin Valley,Tulare
Inland Empire,Riverside
Inland Empire,San Bernardino
Los Angeles County,Los Angeles
Orange County,Orange
San Diego-Imperial,Imperial
San Diego-Imperial,San Diego
